Gorilla_ID,Purpose,Concealment,awareness_check_R1,awareness_check_R2
16204462,I think this study wants to see the effects of disturbing images on a person's general feelings about their life and how emotional scenes can possibly alter one's view of one's life.,Focus and concentration - ability  to switch to easy math questions after seeing disturbing image,,
16204464,If we could follow directions and see if we're satisfied with life,The real reason for the study to be done such as how we feel about where we are in life,,
16204465,no clue,i dont know,,
16204466,Something to do with math and emotion,You tell me bro,,
16204468,about body movement and math test,about being attentive,,
16204469,to see how the movements impacted how we feel,That you are more concerned about the feeling questionaires than the math problems,,
16204473,"How emotions triggered by pictures that elicit aggravation, fear, or sadness impact overall feelings of depression and the impact on the ability to think",whatever the tru underlying purpose of the study is,,
16204474,"I'm not sure, I would guess it's to see how faces react to things.","Maybe something with an AI, or the math questions were not important and it was to see if the face changes",,
16204476,To see how people react to different stimuli,That there may be random assignments,,
16204478,can people fake happiness,"im not sure, maybe about the study not being about math at all but about human emotions",,
16204480,movements and images and how do they affect your mood,what the purpose is,,
16204486,To see how images can effect someone's outlook on life.,I am thinking it is something about following the emotions of others.,,
16204487,maybe to see my mood change,maybe to stimulate my brain,,
16204491,Following instructions,How do normal people follow instructions and how they felt about it afterwards,,
16204492,Not sure but if I was to guess I would say if being distracted changes the way you think or feel.,Pictures were all positive and sweet.,,
16204494,I believe the purpose of the study was to examine the correlation between performing tasks after movement versus being emotionally disturbed and performing tasks.,I belive it is to see if emotional state can be changed based on disturbing images and redundant tasks.,,
16204502,To see how I would react to images maybe?,I honestly have no idea,,
16204532,perception of one's ability to perform math tasks under emotional factors,no idea,,
16204928,To find out if emotions and math are related,Video or audio quality in relation to my emoitions,,
16204929,To see how annoyed people are when asked to do things.,That the camera was not recording.,,
16204930,"I think it told me at the beginning, something about emotions and the ability to do math",NA,,
16204931,"To solve math problems
",I'm not sure. You have not told me,,
16204932,To see how different behaviors impact how the images affect us.,The reason for it. Some of the conditions you adjusted. What other people might've seen different from us.,,
16204933,Reasoning,body reflex,,
16204934,I don't know. It was very confusing.,I don't know and I'm nervous to find out.,,
16204935,To see if people can follow directions,Not sure,,
16204936,Seeing how annoyed people got with it,I do not know,,
16204937,to see how negative images could change mood,if we can follow instructions while be distracted by images,,
16204939,no idea. I guess to see if people can hold an expression while looking at horrible things. and also that if I would follow instructions like a monkey,I have no idea,,
16204940,To determine what the emotional results were of looking at pleasant photos as opposed to mundane tasks,not sure,,
16204941,To check on image displays of faces if they affect how we feel our own emotions and interpret our own hopes fears etc,The mirroring effect of faces and facial expressions in affecting positivity or negativity in daily life,,
16204942,To distract you from the math problems.,Why would yall show disturbing images and tell us to smile at them?,,
16204943,To see how the physical movements influence people's emotion and how they did the math problems.,Not sure,,
16204944,not sure tbh,mundane task response?,,
16204945,I honestly do not know.,That you are collecting information for AI.,,
16204946,something to do with AI,N/A.,,
16204947,To see if any of the images or physical actitivities changed the way we felt about ourselves.,How perception is tied to our own emotions and life,,
16204948,Possibly to gauge the effect math has on emotional states.,I honestly have no clue.,,
16204949,to see how people perceive being filmed,not sure,,
16204950,The purpose of the study was to see if doing physical activities would affect accuracy of doing simple math problems.,How different physical activities would affect people differently while doing math problems.,,
16204951,To see how physical movements affect perfomance on maths problems,To see if people can actually solve simple maths problems.,,
16204953,unsure,reactions to photos,,
16204955,To check how a human being operate and how they feel throughout the study,might be how a body and mind can change through out the day,,
16204956,"I would imagine that the purpose of this study was to test how much being forced to do a task versus doing that task naturally would impact one's emotions (e.g., for the tasks where I either was asked to smile and look at a puppy or look at a puppy and react as I naturally would).","Perhaps that some of the physical movements were not part of the real experiment, but were just there so that participants do not think too hard about the actual task.",,
16204958,to test how we felt about our own life after seeing the pictures.,that the faces and things were supposed to do were apart of the research.,,
16204960,effects of physical movement on cognitive tasks,that some participants were a control group and did not have to perform the tasks,,
16204962,"I have no idea, but it was interesting. I don't think it's about physical movement and math. The fake smiling was the hardest to do. Maybe it was about that?",I think some parts of the study matter and some don't? They don't all seem to go together.,,
16204963,What events/ actions affect mood,not sure,,
16204964,I don't know unless it had something to do with your mind.  Manipulating it so you feel much better mentally?,See if you can perform math problems after seeing images of different things.,,
16204965,Seeing how various physical activities and viewing certain images would affect our responses to both questions and math probems,"The true purpose of the study might not have had much to do with the math problems, it was testing something else",,
16204966,To see how stress affects one's ability to solve problems and interpret one's reality,Maybe how stress affects how we interpret things logically?,,
16204967,I have no idea.  This was really weird,I don't know.,,
16204970,How one feels about every day problems and issues.,If we follow instructions correctly,,
16204971,To see how envoked emotion through images  affects mathicaticatl performance and mood over time,The true reasoning for pefomring physcial actions and the mathamtical problems them selves felt more like a side then main function of the study,,
16204972,Multitasking,That this study is related to emotional regulation,,
16204973,I see if certain facial expressions can change our mood or perceptions.,The exact point of the study and how the tasks work.,,
16204974,To track peoples ability to mimic facial expressions.,That it was tracking my face the whole time.,,
16204979,i honestly dont know. Nothing in this test was cohgesive so Im not able to come up with a speculation as to what it was tring to accomplish,I have no idea.,,
16204986,The impact that distraction or photos have on people's personal moods.,I'm unsure.Maybe that the camera/movements are a distraction. It's really about how you feel after doing the movements or viewing the images.,,
16204987,No clue.,I don't know.,,
16204998,Whether seeing the photos could improve mood,NA,,
16204999,not sure,none,,
16205028,To explore the effect of physical movement tasks on people’s math performance.,Don't know,,
16205032,collecting facial data,that it was about tracking faces,,
16205036,Some sort of AI test to see if it was a real person.,"Not sure, maybe something about how images can reflect your emotions or change them when forced to do funny tasks.",,
16205074,to see if you can still do arithmetic following physical tasks,that you're going to post these videos on youtube???,,
16205097,To see if movements or images can change your mood,"The movements won't be as effective, or the math is irrelevant",,
16211035,Not sure,Human psychology,,
16211037,I'm not sure. Maybe it was to see how certain movements affect emotions and thinking.,What the real purpose of the study was.,,
16211038,"How peoples attitudes are affected by being required to perform certian arbitrary tasks, math problems were a brain wash to clear mind between tasks.",It's not about how the tasks affect math performance. It's about how the tasks affect attitude.,,
16211039,to test how certain movements or pictures might effect emotion.,no idea really. but I'm ok with that. :-),,
16211040,Recations to disturbing scenes such as the abuse to animals.,Image reaction by showing different pictures.,,
16211041,not really sure,really no idea,,
16211045,no clue haha,no clue,,
16211047,To see how emotions interact with physical movement tasks and exposure to pictures?,Maybe the exposure to those pictures was meant to change our emotions we expierenced?,,
16211049,I believe the purpose was to test how movement might affect mental mood.,I believe I have not been told the true purpose of the study.,,
16211051,I think the purpose was to see how instructions and behavior influence emotions and depression rates.,That the study was not about the math.,,
16211052,I have no idea,observing whether or not I followed directions or whether I was able to control my face when confronted with disturbing images,,
16211053,"Where our eyes will follow on the screen, and how we can or can't control subtle facial expressions.",how we subconsciously move around and how our face reacts to images.,,
16211054,Following directions,Not sure,,
16211055,If my cognitive ability changed after performing a series of tasks,Whether the physical movement or facial expression activities mattered more,,
16211061,"I suppose it was to see my facial reactions to certain pictures I saw, most horrifying to me was seeing the dogs in such bad conditions","honestly, I don't know",,
16211062,to see how well people read and pay attention,how attentive people stay,,
16211065,NA,NA,,
16211068,I believe the purpose was to see if seeing negative images makes you rethink your own life.,I think the video recordings have nothing to do with it.,,
16211069,"No idea, because it doesn't seem like these tasks would have any effect on ability to solve very simple ,ath problems.",No,,
16211070,How hand-eye coordination plays a part on psychological mood.,I have no idea.,,
16211074,i have no idea,NA,,
16211075,To see if people will do mildly weird things for a couple of bucks. Just kidding I really don't know.,What a fun twist! I can't imagine what the mistery details could be. Maybe that the study didn't really have anything to do with the math questions?,,
16211078,to determine how distrubing images effect mood and ability to concentrate,that these images were meant to illicit a response other than what was tasked,,
16211079,im not sure,im not sure,,
16211080,To gauge facial reactions to distressing images and possible impacts on cognitive function,Something about my face when viewing distressing images,,
16211081,To evaluate how distressing images effect our emotions and our facial expressions,To see how our emotions and expressions are effected by disturning images or images that would make me irritated or annoyed,,
16211082,The purpose is to learn how people react to images especially when given instructions to comply with.,I dont know.,,
16211083,"To determine if faking it (smiling) contributed to certain actions or behavior? It was annoying to have to fake smile versus real reaction smile, so that is what I am taking away.",Not sure.,,
16211084,"Honestly, I'm not really sure anymore.",Something about distractions and changes in answers?,,
16211087,I think it was about the correlation between certain pictures and math problems to see if it has effect on your mood or changes your attitude,To be honest with you I have no idea,,
16211088,I have no idea,I don't know.,,
16211090,How people feel after looking at positive images? How or if their perception of life ( or current situation) changes,"I am not sure, but i am hoping you will tell me, maybe to measure how people can and will follow instructions, also how they attempt to follow instructions when they are told their incentive would be reduced if they do not follow instructions, this one had me a bit nervous, so maybe thats why I messed up for one set.",,
16211093,To see how people react to different stimuli while multitasking.,I am unsure at the time.,,
16211094,To make us look like silly fools.,"It's like you're asking your little lab rat to squeak out of tune. Dude, I don't know.",,
16211096,"To understand how basic math capacities can dacay when we are exposed to  vandalism, crime and animal cruelty.","That we can change our state of mind with simple motor movements and or by simply smiling even when we are exposed to vadalism, crime, and animal cruelty.",,
16211101,behavior to multitasking,I'm not sure.,,
16211106,Im not sure although I do not think it was the reason stated.,The true purpose of the study.,,
16211109,To see if the video tasks caused me frustration and effected my self worth?,"Gee, not sure. Really, no idea. Maybe that the visual things I had to do weren't at all related to the study?",,
16211110,I believe this study was assessing participant's attitudes towards themselves after engaging in actions that require mental effort.,I believe the movements made can influence our attitudes towards the mathematical problems.,,
16211134,I am not sure what the purpose of this study was.,I do not have any ideas about what the purpose of the study might have been.,,
16211159,To see how emotional state affects math ability.,That you're testing if small physical changes affect emotion perception.,,
16211161,do not know,facial expression study on pictures and ability to do math - who knows?,,
16211192,"To determine if tasks or images that are hard to see, effects peoples ability to think",How negative images that can effect ones mood can change ones ability to think?,,
16211213,NA,NA,,
16211240,factors that can cause stress,how math and movement influence you,,
16211284,I am not sure what the purpose of this study was.,I am not sure.,,
16212032,that the tasks could change responses to quality of life questions,I don't know,,
16212770,A person's willingness to follow directions.,N/A,,
16212772,I have no idea honestly,I have no idea unfortunately,,
16212773,Not sure.,How people follow/interpret directions.,,
16212776,"I'm not sure, to see if people can control their facial reactions to disgusting content?",Not sure.,,
16212778,it a body postioning/movement study accomp[anied with mathematical calculations,NA,,
16212779,not sure,math and movement relation,,
16212780,To gather people facial expressions by testing a repetitive task.,"Im not sure, maybe it has to do with certain facial expressions.",,
16212783,Making us smile while seeing images that are not pleasant is an interesting study to perform. I would be interested in seeing what peoples faces actually looked like. Even though we know faking a smile can actually release chemicals to make us physically happier I felt just more irritated and annoyed that i had to smile during those images. Not sure what exactly the point is but defintely one of the more interesting studies ive taken part of!,They are defintely not about the math problems. I feel the math problems are to make sure you're paying attention. I think the real part of the study was measuring peoples reactions to images when your inducing a good or bad mood perhaps?,,
16212785,How different people react to different inputs and instructions.,There will be a follow up study.,,
16212787,to be honest i cant tell maybe emotions through different task.,to be honest i dont really know. Reactions toward different scenario?,,
16212788,Do test how well people pay attention and take information in,I honestly do not know.,,
16212789,how images affect facial movement,im not sure,,
16212790,It was to see how people respond to sad images and if it makes them perform worse at math questions.,Im not sure maybe that the images had hidden meanings or something like that.,,
16212791,To be able to maintain and finish tasks under stress.,How one feels about their life and feelings may change after being shown distressing images.,,
16212793,Changes in additude and feelings in self-reflection after minimal tasks,No,,
16212794,"I believe the purpose of this study was to see how mathematical skills are impacted when distracted by other factors (e.g., emotional reactions, being interrupted by body movements, etc.).","I think it may pertain to some independent variable / assigned state regarding the impact of different emotional states (e.g., being shown photos of dogs being abused vs. being shown photos of happy dogs and how these different conditions impact people's ability to focus on mathematical reasoning).",,
16212795,how images may affect our mood,im not sure but id like to know!,,
16212797,data collection,"it's probably not a study, just some discreet form of data collection",,
16212799,About patience and repetition.,It wasn't about math.,,
16212801,"To see how different movements impact emotions, and if smiling while looking at happy images has a different impact on emotions that looking at the same type of images without a smile/with a neutral expression",The math was irrelevant,,
16212802,I think it had something to do with facial position relating to feelings of happiness/annoyance ect. but I'm not sure,I think it might be that the math was actually irrelevant and it was about the facial positions,,
16212804,Unsure!!,I don't know. maybe about focus,,
16212806,To discern how subjects respond cognitively based on certain factors including instructions that may be misleading and/or threats regarding compensation and to assess how particular types of situations impact self-perceptions of circumstances,That the compensation isn't what was described initially including the deduction for not following instructions,,
16212807,NA,I think it has something to do with peoples reactions with negative images,,
16212809,I think it was to see how people respond to instruction when viewing certain images that can be emotional.,The images might be AI and not real..,,
16212810,to see how we feel after different tasks,idk,,
16212812,No clue really,God only knows,,
16212813,The purpose of this study was to gauge how we see ourselves overall as well as looking at pictures of distressing situations and gauge our thoughts on what we saw.,I am not sure.,,
16212815,See the effects of my emotional state after viewing the images.,Images influence moods and cognitive function.,,
16212816,Maybe to see how people react to very different styles of tasks like the movements and the math questions and the sad photos.,Maybe it would be what the connection is between negative visual stimuli and having to problem solve,,
16212817,I honestly do not have any clue. I found it odd to do movements then answer math questions then emotions - so I can't figure out how they all corallate.,other people might be seeing my moevments to judge them in future studies?,,
16212819,To provide my opinion on the given situation.,To give my opinion on the given situation.,,
16212825,To give the intrustions and to see if they are followed.,To see the reaction of the other part.,,
16212827,gauging how emotions alter cognition or abilities to perform simple tasks,NA,,
16212829,The affects of physical movements,studying facial movements,,
16212832,Seeing how we feel with the photos.,feelings,,
16212833,To determine how the images affected your feelings and math performance,It had more to do with the photos than the math,,
16212834,I haven't a clue,Hey Cortana,,
16212836,Understanding how certain tasks like math and movement affect emotions.,I think that maybe the accuracy of the math problems was irrelevant.,,
16212837,"I have no idea, maybe how images of nature and animals affect us.",I don't know.,,
16212839,How facial expressions changes mood,I am not sure,,
16212841,investigate how body movements and pictures affect people's attitudes toward life,our attitudes toward life might be affected by physical movement?,,
16212845,no idea,no idea,,
16212847,To see how our mood and perception of life quality changed over the course of performing different tasks,"How the physical task, mental math, and questionaires work together to provide insight into our life satisfaction",,
16212848,How positive imagery can help with math skills.,I'm not sure,,
16212850,people's real reactions/how they felt when presented with negative images,not sure,,
16212854,Physicam movernment and measure thing caacity of the human being.,No,,
16212898,test facial and emotional expression,emotional stage related to object and environment,,
16213809,To test our feelings,personality,,
16220035,I think the purpose of this study was to see how doing seemingly meaningless tasks effects a person's mood,I don't know,,
16220036,"To see if disturbing images changed your outlook, the math problemd were more of a ""palate cleanser"".",no idea other what I just said,,
16220037,Maybe to see how the actions change our mood.,"That the math has nothing to do with the study except serve as a ""palette cleanser"" for our minds before the real questions about our mood maybe.",,
16220039,To see how quickly we can switch between tasks and if any of the photos were upsetting,Maybe that you weren't really recording me,,
16220040,I have no idea maybe see if people can do math problems after performing specific tasks,I have no idea,,
16220041,to see if distraction can impact our emotions,the math content was a distraction,,
16220042,not really sure - testing to see if the depressing pictures impact our emotions,Some type of deception was used,,
16220043,See my body movements,I am unsure,,
16220044,I never know,No clue,,
16220045,attitudes,How much chuck?,,
16220047,To see if we can get distracted from our tasks and it effects our work.,It wasn't about the math problems but how we changed emotionally,,
16220048,foucs,none,,
16220049,To determine whether emotions change after specific physical movements/actions,Maybe seeing how people's reactions or feelings change after seeing certain images meant to evoke a certain response,,
16220050,No idea. Train AI?,No idea.,,
16220052,"hand to brain connection, nervouse system response or left and right side brain observation",A correlation on how people's analytical ability relates to life satisfaction?,,
16220053,not sure,why we were doing math problems,,
16220054,To understand how physical movement tasks affected people's math performance.,I don't know.,,
16220055,"The study said something about doing math, but it seemed like it was about emotions",i honestly do not know,,
16220056,"To see how our facial expressions change when we see sad images of things like sad animals, stealing, or car accidents.",That the math problems were a distraction.,,
16220057,How well we relate to movement and math,I really have no idea.  Maybe how movement and math affect your overall well being.,,
16220058,To see people's natural reactions to negative experiences,I am not sure.,,
16220059,I'm not really sure,the real reason for the study,,
16220060,i have no idea,following instructions,,
16220063,To study how interactions with ones self can change the opinions of one's position in life.,You are recording and studying involuntary movements.,,
16220064,To see how people's attitudes change in response to an applied stimulus.,"How people's attitudes change in response to stimulation, and in particular, the nature of the relationship of what is shown to mood.",,
16220065,To see if i could follow simple instuctions,Whats the point of the study,,
16220066,To see how activities affect mood and thinking,The real meaning and purpose behind this study are something we cant think of,,
16220067,facial reactions to evil things,how people's view points of life chnage after seeing cruel things.,,
16220068,To see how instructions change peoples expressions and feelings,I'm not sure,,
16220069,I believe the purpose of this study was to examine perceptions of and emotional responses to mathematical performance and its impact of physical reactions.,It might be how the study was actually investigating the effects of physical responses of performance anxiety and how this relates to emotional reactions.,,
16220070,body movements emotions and life satisfaction,idk,,
16220071,Test tasks on math performance?,Facial expression vs. unsettling images and their influence on mood,,
16220076,movement on mood,mood regarding movement,,
16220078,How we can react facing ourselves on the morrow or screen being watched,You intend tickling us,,
16220079,to see how distress can shift our pattern of thinking and our overall wellness and contentment with our life,Maybe that you are tracking our eye movements to see which of the pictures distress us the most?  I know for me it was the animals and the threat of human life.,,
16220080,how we feel by doing tasks we don't like,"use human expressions to ""adopt"" to. All you used was sad abused dogs",,
16220081,To see if one's mood can be altered through simple tasks.,Details about the purpose of the study,,
16220087,hmhmhmhm b bmhmhmhmb  bmbmmbh,"nknmnmm, m  nmmm,,m mn,m,m,,m m  m,,m",,
16220090,Something to do with how the physical actions affect mood and cognitive effo rt?,"How mood/physical actions are connected?
",,
16220103,i could not tell you,Honestly this was a very vague study for me,,
16220111,No idea,That I was not really recorded,,
16220113,collect face data for some comparation or ai training propuses.,"not sure, maybe that this experiment was based on other things besides the obvius images and math?",,
16220114,To see if our emotions change based on what we see or gestures,Probably that the math problems were only an obstacle and serve zero relevance?,,
16220118,to see my expressions,im not sure,,
16220130,Do see if doing math problems and simple tasks impacted someone's emotions and had an effect on how they feel about themselves.,That there would not be a decrease in compensation if we failed to do the tasks correctly.,,
16220139,To measure feedback on feelings while being exposed to certain imagery.,What is the actual purpose of the study?,,
16220142,"to determine if my personality and attitude affected my ability to perform math problems accurately
",If my movements were being evaluated for consistency,,
16220148,To see if physical actions and what I am shown changed my responses in term of feelings or affected math performance,There's a measurement of how fast I can complete the math equations as well.,,
16220192,To see how poeple reacted to the pictures shown.,That the math problems were not the main reason for the study.,,
16220313,To see how differing pictures and facial reactions can affect your mood and outlook on life.,How the math component can affect how a person thinks in between each round.,,
16220314,seeing how emotional state affects the way you do math,maybe that you werent ever going to show me facial expressions,,
16220316,reactions?,how bad pictures affect how we see ourselves,,
16220321,Don't Know,No Idea.,,
16220322,To see how getting people involved in various activities might affect current mood or life outlook.,Not sure,,
16220324,No clue. Prolly using my reactions for AI training,AI training,,
16220327,NA,NA,,
16220328,I believe it was to see how our physical movements effect our mental processing,"Unsure, maybe these certain tasks are meant to produce anticipated outcomes",,
16220329,how well people follow instructions,the camera was not recording,,
16220335,i dont know,NA,,
16220343,Impact of smiling on emotions,I think the math wasn't important - it was more about smiling,,
16220345,Seeing how people react to required movements?,"It might be about general mental health, given the questions after each section.",,
16220348,to explore the effect of physical movement tasks on people’s math performance,how i feel at the moment,,
16220349,how physical movements change the cognitive ability and how they feel,The human expressions to see if when asked to do something how my micro expressions change and affect the mood,,
16220353,Testing how well we can follow directions,How fast we can follow instructions?,,
16220355,To test how stressful images change your life perception.,Not sure,,
16220356,Emotions.,They way people feel in different occassions.,,
16220359,I have no idea,No idea,,
16220360,I've heard before that smiling can actually make you feel happy. Maybe this study has to do with how different movements and facial expressions affect mood.,Maybe that the study has more to do with mood questions than the math questions.,,
16220367,If multi tasking affected how people feel about themselves and their situation,"Probably, how much the answers vary during each set are monitored",,
16220368,To see how facial expressions such as smiling change our outlook and mood.,I am not sure.,,
16220369,To see how different images project different feelings of well being,That it is a test,,
16220370,To see if I can make a fool of myself for a dollar.,To find out if people get annoyed.,,
16220371,to test my math skills,math,,
16220372,Im not sure,Maybe some response to the images,,
16220374,i'm not sure,I'm not really sure,,
16220375,not really sure. maybe to see how responses change when seeing certain things that are harmful?,not sure,,
16220380,see if people emotions change,not sure,,
16220381,To guage the impact of positive movements (like smiling) with mood and outlook on life,That it was actually focused on how movement can impact mood,,
16220382,I think the purpose was to see how frightening images affect a person's cognitive abilities.,I think that the details have something to do with the disturbing images and the questioning of my emotional state after each task.,,
16220384,To study facial movements during testing,The true purpose of the study,,
16220386,to gauge someones sensitivity,psychological test,,
16220392,I really dont know,have no idea,,
16220396,for ai to lean to pick up suddel facel expresions?,about ai,,
16220399,how we multitask,that..im not sure,,
16220404,How does engaging different pasrts of the brain affect other areas?,not sure,,
16220415,To see facial expressions whilst someone looks at 3 disturbing images. And to gauge how they feel after. I think the rest were decoy tasks,"Refer to my answer to the last question. I think its how images affect mood, facial expressions, and possibly math questions, or the math questions were just decoys.",,
16220421,"Not math testing, maybe pictures or tasks on the way it affects mood",What the recording is for beyond verifiaction,,
16220441,Understand the impact of movement on mood,Whats the study for,,
16220446,no idea,haven't a clue,,
16220466,Seemed like a mental health study,I am not sure,,
16220481,The purposebofmthw study was to test if movement activily affected people thinking,What the main study is about.,,
16220512,To see if seeing certain images impacted a persons mood,That the images were shown with a specific purpose,,
16220532,To see what people look like performing different tasks??,That they looked at us to see if we would react differently to the photos?,,
16220541,see if u could follow instructions,focus and mental switching from thinking to doing,,
16220752,To see how people's mood changed based on the tasks they were asked to perform.,The purpose of this research was to see if people reported lower or higher scores on their mood and life conditions.,,
16221004,NA,im wondering if this study was to see how different tasks change emotions,,
16221118,"How focus, brain activity, and emotions perform when performing different tasks and looking at different images.",How we react while doing different tasks. How it changes our emotions.,,
16222596,"How viewing distressing images impacts emotions, especially depending on what someone does during that, maybe?",That it was less about the movement tasks and math and more the distressing images?,,
16222597,not sure. How do we react to certain stimuli even when we are depressed or anxious?,do not know,,
16222598,not sure at all,i really don't know,,
16222599,The correlation between distress and self analysis of life satisfaction.  It had nothing to do with math,The math was not a factor,,
16222600,To see if focus could be split between physical tasks and mental (math-based) tasks,Maybe training AI,,
16222601,"Whether negative images would cause a change in our emotions. The only one I truly felt was sadness due to the animal images, but sadness wasnt in the list.",I dont know,,
16222602,If actions relating to inner thoughts had any bearing on mathmatical reasoning,If distracted individuals are affacted by stimuli that would either improve or worsen thier mood and outlooks,,
16222604,Seeing how looking at positive impacts influences your self-worth and mood.,I think some details would be about how using math distracts your brain from the previous influence of the pictures possibly.,,
16222605,to view how we react to certain images,"im not sure, but possibly something to do with eye contact",,
16222606,Stagnate human emotions,I'm not sure. Maybe how the world is becoming desensitized.,,
16222607,I am not sure,maybe some people saw positive pictures and some people saw negative ones,,
16222609,"You guys said there would be scary images. So I braced myself everytime, and was pleasantly met with images of kittens and flowers. I don't know, but I tended to be more scared doing the timed exercises.","There is mention of disturbing imagery, yet I see none. Perhaps something to do with that?",,
16222611,Im not fully sure.,"I know this study was described that i would be doing math questions on camera and it ended up being different, as there were questions other than math questions.",,
16222612,Not quite sure,Something to do with touching your head and eye movement?,,
16222613,Seeing how movememnts effect mood,NA,,
16222614,body movements,not sure,,
16222615,To assess if emotional disturbance affects ability to perform simple arithmatic,It might also be intended to assess the impact of seeing negative images or images of crime and abuse on someone's evaluation of the condition of their life.,,
16222616,no idea!,how feelings change when asked to do repetitive things?,,
16222617,Not sure,something about your feelings after seeing upsetting images,,
16222618,to see id movements alters feelings,NA,,
16222621,NA,I have no idea,,
16222623,How unsettling images affect mental state.,I think repeating the 10x3 image task while providing instructions for a different task was on purpose.,,
16222624,I honestly don't know,You're studying intentional manipulation of emotional reactions?,,
16222625,To see if random movements and alarming images would interfere with how somene would solve math problems.,The math problem solving may not be the point of the study.,,
16222627,NA,NA,,
16222628,How to follow instructions.,I don't know,,
16222629,Analyze how your face can detect emotions,I do not know,,
16222630,movement/emotion recognition,facial expressions based on tasks,,
16222631,"Honestly, I am not sure.",This may be something related to emotional triggers.,,
16222632,"To see if people could still preform basic functions after being distracted and how does how they preceive there preformance effect there feelings
",im not sure,,
16222633,the connection between being told to do a physical task and then simple math problems,i'm not sure. to be honest i got a little caught up on having to copy the facial expressions being that it was animals and not human faces,,
16222634,"I am honestly not sure about the purpose, maybe to see if I followed the directions and if the actions affected my mood in anyway.",That those motions had nothing to do with making me faster at math problems.,,
16222635,Gauging people's math performance in the the midst of different emotions.,I truly have no idea,,
16222637,unsure,i cant think of what it might be,,
16222638,to follow directions,not sure,,
16222639,Not sure,I am curious to learn,,
16222640,concentration and opinions of one's self,I don't beleive so,,
16222641,NA,no idea,,
16222642,perceptions,trying to invoke an emotion in the user,,
16222645,I am not sure! How tasks effect doing math problems.,I don't know,,
16222647,I believe the purpose of this study was to assess how one's emotions may affect their decisions.,I'm not sure what those details might be. My guess is details that surround why we were asked to do the physical tasks and what the purpose of that was.,,
16222648,"I'm not sure. Maybe to evaluate our facial movement, and how our facial movement can connect with our emotions and how we feel in the moment.",That our facial movement isn't actually being recorded,,
16222649,To check if we are distracted in solving math problems.,NA,,
16222650,to see how people paid attention,im not sure lol,,
16222651,How well people can follow instructions.,How people react to being told what to do,,
16222652,How activities and images can affect both your mental state and your ability to think through problems,N/A,,
16222654,to determine how disturbing images can affect facial expressions,this is to teach Ai,,
16222657,To see how various tasks of images affect perception of overall life satisfaction,It might not have anything to do with math performance,,
16222658,To see what effect violence and abuse have on people.,I am not sure.,,
16222659,Body Movements,NA,,
16222660,Monitoring eye movement,You were secretly monitoring eye movements.,,
16222661,facial reactions and movement compared to emotions,im not sure,,
16222662,to study body movements and reaction,i cant tell,,
16222663,No clue,I do not know,,
16222664,not sure,not sure,,
16222665,I am  not sure. The tasks were to control emotions and to solve problems while still preoccuiped about disturbing images shown. So probably coping mechanism/ability of people?,I have no idea,,
16222666,facial expressions and mathematics computations,how well people perform math after viewing images,,
16222668,i have no idea,i don't know,,
16222670,emotions,social,,
16222671,To see if making physical actions while being watched improved my mood or worsen it.,I wasn't actually being recorded?,,
16222672,"I'm honestly not sure. I thought multitasking at first, but then the facial expressions with the alarming images makes me feel differently.","What the actual study was about, that the images aren't real, hopefully.",,
16222673,Focus and direction following compared to emotions,Not sure,,
16222674,Facial expressions changing the way we respond to stimulus?,i dont know,,
16222675,I'm not sure but I would guess it could be investigating a link between forcing facial muscles and one's disposition.,I think the math problems were likely distractors and the important data in the study were the questionaires asking about my mood and outlook on life.,,
16222676,I have zero clue at all. Maybe there are other more difficult versions of the task that lean more heavily on multitasking while doing the recording tasks and this is a control to see just how much problem solving skills deteriorate depending on tasks.,That there are multiple versions of this task designed to measure how or if problem solving time and skill decreases while attempting to showcase emotions different from those likely felt.,,
16222678,body movements,reactions,,
16222679,data collection ai training,no idea,,
16222680,I think that maybe it could be testing how affective a person is in completing tasks when they are trying to multi-task and or when they are aware of their feelings so like if someone has issue going on in their life and are working a job where they are constantly multi-tasking how those variables affect the way they work. And or I was also thinking that maybe it is testing how simply putting a smile on your face can affect your overal view of yourself and your life like just the act of smiling can influance  you in a positive way even though the smile isn't associated with anything happy persay the physical act may influance your brain in a positive way,I;m thinking it probably has to do with the physical act of smiling while multi-tasking can actually influace a person in a positive way that isn't necessarily dependent on expernal influances,,
16222681,See if people pay attention,Eye coordination,,
16222682,The purpose of this study was to assess the subject's psychological state after being asked to perform routine movement tasks. I think it's about assessing people's feelings about being told what to do by an authority figure -- a variation on the Milgram experiment.,"The researchers have a face fetish and they enjoy looking at random faces, which is why they earned a Ph.D.",,
16222683,I am not sure,I have no clue,,
16222684,how images impact our mood and self image and focus,the true relevance of all of the instructions or of the math,,
16222685,to see if you're paying attention? or maybe just to see if humans know and can perform basic tasks.,I'm not sure.,,
16222686,Juding how fast you solve math problems after different activities,No idea.,,
16222687,how different tasks affect cognitive ability,why there were questions about quality of life perception,,
16222689,I think the purpose of this study is to learn whether cognitive tasks and questions will affect the accuracy of a person in solving simple math problems.,I think those details might be whether a person's mental health state might affect their ability to complete tasks.,,
16222690,I have no idea other than something to do with psychology,Reactions to instructions might be a big part of it?,,
16222694,to see how doing minimal pysical movemtns and seeing distressing images effects ones executive functioning,I honestly have no idea,,
16222696,not sure,not sure,,
16222700,To determine if doing a certain movement would help with mood,Why you are doing it,,
16222704,I don't know what the true nature of the study was.,I don't know - I can't even begin to guess.,,
